reference,module,titre,fichier_maquette,cadre_ou_ancre,type_de_vue,entree,sortie,formats_disponibles,etats_disponibles,statut_validation,reste_a_fournir
"A1","Site public","Landing page","Lot 7 - A1 Landing page v2.dc.html","2 cadres : desktop 1440, mobile 375","page","racine du site","Créer un compte → A5 · Connexion → A4 · Tarifs → A3 · Fonctionnalités → ancres piliers","375 · 768 · 1440","repos · survol · menu ouvert · lueur pulsation / survol","validé — maquette + prototype","témoignages, logos clients, badge Meta, note d'avis"
"A2","Site public","Fonctionnalités","Lot 7 - Site public.dc.html","data-screen-label=""A2""","page","en-tête → Fonctionnalités","CTA → A5 · Tarifs → A3","375 · 1440","repos","validé — maquette seule","assemblage dans le prototype"
"A3","Site public","Tarifs","Lot 7 - Site public.dc.html","data-screen-label=""A3""","page","en-tête → Tarifs · A1 → lien tarifs","Choisir un plan → A5","375 · 768 · 1440","FCFA / EUR / USD · tableau replié / déplié","validé — maquette + prototype","—"
"A4","Site public","Connexion","Lot 7 - Site public.dc.html","data-screen-label=""A4""","page","en-tête → Connexion","Se connecter → C1.1 · Mot de passe oublié → A6 · Créer un compte → A5","375 · 1440","repos · focus · erreur d'identifiants","validé — maquette + prototype","états d'erreur de saisie"
"A5","Site public","Inscription","Lot 7 - Site public.dc.html","data-screen-label=""A5""","page","A1/A2/A3 → CTA · A4 → lien","Créer mon compte → B1","375 · 1440","repos · robustesse du mot de passe (3 niveaux) · vérification d'e-mail","validé — maquette + prototype","—"
"A6","Site public","Mot de passe oublié","Lot 7 - Site public.dc.html","data-screen-label=""A6""","étape (3)","A4 → lien","Lien ouvert → nouveau mot de passe → A4","375 · 1440","demande · confirmation neutre · nouveau mot de passe","validé — maquette + prototype","—"
"A7","Site public","Pages légales","Lot 7 - Site public.dc.html","data-screen-label=""A7""","onglet (4)","pied de page","pied de page","375 · 1440","repos","gabarit validé, contenu à fournir","textes juridiques définitifs des 4 documents"
"A8","Site public","Contact et support","Lot 7 - Site public.dc.html","data-screen-label=""A8""","page","pied de page → Contact","envoi → accusé","375 · 1440","repos · envoyé","validé — maquette seule","assemblage dans le prototype"
"B1","Mise en route","Bienvenue","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""B1""","étape (1/6)","A5 → compte créé","Commencer la configuration → B2","375 · 1440","repos","validé — maquette + prototype","—"
"B2","Mise en route","Connexion Meta","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""B2""","étape (2/6)","B1","Connecter → B3 · Ignorer → B7","375 · 1440","repos · connexion en cours · permissions refusées","validé — maquette + prototype","—"
"B3","Mise en route","Sélection du Business Manager","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""B3""","étape (3/6)","B2","Continuer → B4","375 · 1440","3 BM dont 1 en lecture seule · aucun compte","validé — maquette + prototype","—"
"B4","Mise en route","Sélection du compte publicitaire","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""B4""","étape (4/6)","B3","Continuer → B5","375 · 1440","4 comptes, 2 sélectionnés · compte EUR non converti","validé — maquette + prototype","—"
"B5","Mise en route","Page Facebook et compte Instagram","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""B5""","étape (5/6)","B4","Continuer → B6","375 · 1440","3 pages · 1 sans Instagram lié","validé — maquette + prototype","—"
"B6","Mise en route","Pixel et événement de conversion","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""B6""","étape (6/6)","B5","Continuer → B7","375 · 1440","2 pixels dont 1 inactif · événement à volume faible","validé — maquette + prototype","—"
"B7","Business Brain","Formulaire","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""B7""","page","B6 · C10.1 → modifier","Analyser mon site → B8 · Remplir à la main → B9","375 · 1440","vide · partiel · complet","validé — maquette seule","assemblage dans le prototype"
"B8","Business Brain","Analyse automatique du site","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""B8""","panneau","B7","fin d'analyse → B9","375 · 1440","en cours (progression par étape) · échec · site inaccessible","validé — maquette seule","assemblage dans le prototype"
"B9","Business Brain","Récapitulatif","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""B9""","page","B8","Valider → B10","375 · 1440","24 informations : 9 déduites, 4 manquantes","validé — maquette seule","assemblage dans le prototype"
"B10","Business Brain","Choix du plan et paiement","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""B10""","page","B9","Choisir → B11","375 · 1440","4 plans · FCFA/EUR/USD · échec de paiement","validé — maquette seule","assemblage dans le prototype"
